"id","url_id","language","status","attempts","last_error","created_at","updated_at"
"5a75e2c3-884a-4c9a-9f5b-44e5a56b39e2","493d91e2-866e-4566-abed-318b8ce16a41","pt","done",1,NULL,"2026-03-20 22:52:47.064715+00","2026-03-20 22:52:47.064717+00"
"3fee2937-3f9a-4981-9156-e4d44d5e12ce","0fa5c633-632b-4609-94e6-4240aed48871","es","done",1,NULL,"2026-03-20 22:54:04.82275+00","2026-03-20 22:54:04.822752+00"
"d097793a-641e-4ffe-af98-388fbb984b36","7e509834-ef44-484e-8286-616d61ae6bf6","es","done",1,NULL,"2026-03-20 22:55:46.740178+00","2026-03-20 22:55:46.740183+00"
"ddc8fc69-1602-4c57-a51a-64932e39cf00","0fa5c633-632b-4609-94e6-4240aed48871","en","done",1,NULL,"2026-03-20 22:58:37.933355+00","2026-03-20 22:58:37.933357+00"
"8e09ceaa-97c7-40db-a394-1474df34a120","7e509834-ef44-484e-8286-616d61ae6bf6","en","done",1,NULL,"2026-03-20 23:01:33.828911+00","2026-03-20 23:01:33.828916+00"
"acd8c11e-6844-4598-aea9-242123a71d06","0fa5c633-632b-4609-94e6-4240aed48871","de","done",1,NULL,"2026-03-20 23:02:51.13412+00","2026-03-20 23:02:51.134125+00"
"d02ddaf5-3bad-484e-8c21-74afaa5afb1e","7e509834-ef44-484e-8286-616d61ae6bf6","de","done",1,NULL,"2026-03-20 23:04:09.3258+00","2026-03-20 23:04:09.325802+00"
"fb23c98a-f962-464e-8261-23a382dc4c51","0fa5c633-632b-4609-94e6-4240aed48871","fr","done",1,NULL,"2026-03-20 23:05:27.495087+00","2026-03-20 23:05:27.495089+00"
"cb324d46-0515-46ff-8128-20cf0737fae8","7e509834-ef44-484e-8286-616d61ae6bf6","fr","done",1,NULL,"2026-03-20 23:07:01.588099+00","2026-03-20 23:07:01.588103+00"
"894b510e-cb01-44f2-9c39-055a0268384e","0fa5c633-632b-4609-94e6-4240aed48871","it","done",1,NULL,"2026-03-20 23:08:19.86662+00","2026-03-20 23:08:19.866622+00"
"cc2a97e1-8630-42d5-b9c7-e3fe3e4a0bcb","7e509834-ef44-484e-8286-616d61ae6bf6","it","done",1,NULL,"2026-03-20 23:09:39.526056+00","2026-03-20 23:09:39.526059+00"
"d30bf26a-fdce-4333-9b52-f367c7245fb7","0fa5c633-632b-4609-94e6-4240aed48871","nl","done",1,NULL,"2026-03-20 23:10:58.058335+00","2026-03-20 23:10:58.058338+00"
"6048dd4c-1af3-42f6-b57b-d98f0b6150e8","7e509834-ef44-484e-8286-616d61ae6bf6","nl","done",1,NULL,"2026-03-20 23:12:32.428058+00","2026-03-20 23:12:32.428061+00"
"71d357f1-e761-4186-b316-2f9facc9a806","0fa5c633-632b-4609-94e6-4240aed48871","pt","done",1,NULL,"2026-03-20 23:13:51.255428+00","2026-03-20 23:13:51.255432+00"
"05a830af-ce4a-4373-a326-6511c301d5ca","7e509834-ef44-484e-8286-616d61ae6bf6","pt","done",1,NULL,"2026-03-20 23:15:10.029059+00","2026-03-20 23:15:10.029061+00"
"d1322861-a8b5-4daa-be7d-20357330f7eb","2741d8d5-15c8-42f2-91ca-744414e755f1","es","done",1,NULL,"2026-03-20 23:16:27.324313+00","2026-03-20 23:16:27.324315+00"
"77cba344-0a05-4d44-899f-df345de04dba","a1da6af5-6d39-481c-98ab-b162305f9118","es","done",1,NULL,"2026-03-20 23:17:57.5048+00","2026-03-20 23:17:57.504802+00"
"cf6427e1-ea2b-4391-a8c1-edc6c8e6dcd8","2741d8d5-15c8-42f2-91ca-744414e755f1","en","done",1,NULL,"2026-03-20 23:20:52.787697+00","2026-03-20 23:20:52.7877+00"
"94a56319-492e-4cae-b2ce-0ba5f7d67296","a1da6af5-6d39-481c-98ab-b162305f9118","en","done",1,NULL,"2026-03-20 23:23:40.639921+00","2026-03-20 23:23:40.639924+00"
"0ad21e4d-019b-4177-8116-304bb4560984","2741d8d5-15c8-42f2-91ca-744414e755f1","de","done",1,NULL,"2026-03-20 23:24:58.710875+00","2026-03-20 23:24:58.710877+00"
"aea52c9a-c674-4e5e-b1ec-b6f01f9c4e65","a1da6af5-6d39-481c-98ab-b162305f9118","de","done",1,NULL,"2026-03-20 23:26:17.24701+00","2026-03-20 23:26:17.247012+00"
