id,hotel_id,url_id,language,service,service_category,created_at
49,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Ironing facilities,,2026-04-06 23:02:35.429892+01
50,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Bulgarian,,2026-04-06 23:02:35.429892+01
51,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,English,,2026-04-06 23:02:35.429892+01
52,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Serbian,,2026-04-06 23:02:35.429892+01
53,f7308956-4306-43f1-9f46-9d237089fda4,61dc8245-23aa-4dae-9474-ea3ede12b9a5,es,Desayuno,,2026-04-06 23:03:43.900595+01
54,f7308956-4306-43f1-9f46-9d237089fda4,61dc8245-23aa-4dae-9474-ea3ede12b9a5,es,Prohibido fumar en todo el alojamiento,,2026-04-06 23:03:43.900595+01
55,f7308956-4306-43f1-9f46-9d237089fda4,61dc8245-23aa-4dae-9474-ea3ede12b9a5,es,Inglés,,2026-04-06 23:03:43.900595+01
56,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Parking,,2026-04-06 23:04:10.767592+01
57,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,WiFi gratis,,2026-04-06 23:04:10.767592+01
58,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Habitaciones sin humo,,2026-04-06 23:04:10.767592+01
59,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Papel higiénico,,2026-04-06 23:04:10.767592+01
60,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Toallas,,2026-04-06 23:04:10.767592+01
61,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Bañera o ducha,,2026-04-06 23:04:10.767592+01
62,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Baño privado,,2026-04-06 23:04:10.767592+01
63,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Artículos de aseo gratis,,2026-04-06 23:04:10.767592+01
64,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Secador de pelo,,2026-04-06 23:04:10.767592+01
65,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Ducha,,2026-04-06 23:04:10.767592+01
66,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Ropa de cama,,2026-04-06 23:04:10.767592+01
67,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Armario,,2026-04-06 23:04:10.767592+01
68,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Mobiliario exterior,,2026-04-06 23:04:10.767592+01
69,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Zona de comedor exterior,,2026-04-06 23:04:10.767592+01
70,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Terraza / solárium,,2026-04-06 23:04:10.767592+01
71,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Jardín,,2026-04-06 23:04:10.767592+01
72,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Cocina compartida,,2026-04-06 23:04:10.767592+01
73,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Secadora de ropa,,2026-04-06 23:04:10.767592+01
74,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Enchufe cerca de la cama,,2026-04-06 23:04:10.767592+01
75,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Tendedero,,2026-04-06 23:04:10.767592+01
76,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Ciclismo Fuera del alojamiento,,2026-04-06 23:04:10.767592+01
77,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Senderismo Fuera del alojamiento,,2026-04-06 23:04:10.767592+01
78,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Zona de estar,,2026-04-06 23:04:10.767592+01
79,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Escritorio,,2026-04-06 23:04:10.767592+01
80,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Cafetería en el alojamiento,,2026-04-06 23:04:10.767592+01
81,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Guardaequipaje,,2026-04-06 23:04:10.767592+01
82,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Registro de entrada y salida exprés,,2026-04-06 23:04:10.767592+01
83,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Servicio de lavandería,,2026-04-06 23:04:10.767592+01
84,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Proporciona factura,,2026-04-06 23:04:10.767592+01
85,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Pesca,,2026-04-06 23:04:10.767592+01
86,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Extintores,,2026-04-06 23:04:10.767592+01
87,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Cámaras de seguridad fuera del alojamiento,,2026-04-06 23:04:10.767592+01
88,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Cámaras de seguridad en las zonas comunitarias,,2026-04-06 23:04:10.767592+01
89,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Detectores de humo,,2026-04-06 23:04:10.767592+01
90,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Llave de acceso,,2026-04-06 23:04:10.767592+01
91,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Hipoalergénico,,2026-04-06 23:04:10.767592+01
92,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Zona de fumadores,,2026-04-06 23:04:10.767592+01
93,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Aire acondicionado,,2026-04-06 23:04:10.767592+01
94,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Prohibido fumar en todo el alojamiento,,2026-04-06 23:04:10.767592+01
95,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Insonorización,,2026-04-06 23:04:10.767592+01
96,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Entrada privada,,2026-04-06 23:04:10.767592+01
