"id","recorded_at","cpu_usage","memory_usage","active_workers","db_pool_checked_out","redis_connected","urls_pending","urls_done","extra_data"
"109","2026-03-21 07:32:52.779515+00","25.6","38.7",NULL,0,NULL,0,13,"{}"
"110","2026-03-21 07:37:52.858783+00","26.2","38.9",NULL,0,NULL,0,13,"{}"
"111","2026-03-21 07:42:52.780953+00","31","38.6",NULL,0,NULL,0,13,"{}"
"112","2026-03-21 07:47:52.779978+00","32.9","38.9",NULL,0,NULL,0,13,"{}"
"113","2026-03-21 07:52:52.780123+00","25.8","38.9",NULL,0,NULL,0,13,"{}"
"114","2026-03-21 07:57:52.779871+00","25.7","38.7",NULL,0,NULL,0,13,"{}"
"115","2026-03-21 08:02:52.780278+00","29.6","38.9",NULL,0,NULL,0,13,"{}"
"116","2026-03-21 08:07:52.78372+00","25.4","38.7",NULL,0,NULL,0,13,"{}"
"117","2026-03-21 08:12:52.782302+00","27.6","38.8",NULL,0,NULL,0,13,"{}"
"118","2026-03-21 08:17:52.782818+00","26.9","39",NULL,0,NULL,0,13,"{}"
"119","2026-03-21 08:22:52.783824+00","34.5","39",NULL,0,NULL,0,13,"{}"
"120","2026-03-21 08:27:52.783068+00","25.8","38.8",NULL,0,NULL,0,13,"{}"
"121","2026-03-21 08:32:52.782946+00","27.1","38.7",NULL,0,NULL,0,13,"{}"
"122","2026-03-21 08:37:52.864216+00","26.3","38.9",NULL,0,NULL,0,13,"{}"
"123","2026-03-21 08:42:52.783908+00","26.5","38.7",NULL,0,NULL,0,13,"{}"
"124","2026-03-21 08:47:52.783361+00","25.8","38.8",NULL,0,NULL,0,13,"{}"
"125","2026-03-21 08:52:52.786409+00","26","38.8",NULL,0,NULL,0,13,"{}"
"126","2026-03-21 08:57:52.786078+00","26.8","38.7",NULL,0,NULL,0,13,"{}"
"127","2026-03-21 09:02:52.788068+00","57.5","39.3",NULL,0,NULL,0,13,"{}"
"128","2026-03-21 09:07:52.786592+00","25.8","39.6",NULL,0,NULL,0,13,"{}"
"129","2026-03-21 09:12:52.786339+00","24.6","39.2",NULL,0,NULL,0,13,"{}"
"130","2026-03-21 09:17:52.787139+00","31.2","38.8",NULL,0,NULL,0,13,"{}"
"131","2026-03-21 09:22:52.787789+00","24.9","38.5",NULL,0,NULL,0,13,"{}"
"132","2026-03-21 09:27:52.786264+00","26.4","38.2",NULL,0,NULL,0,13,"{}"
"133","2026-03-21 09:32:52.787411+00","24.9","38.3",NULL,0,NULL,0,13,"{}"
"134","2026-03-21 09:37:52.786348+00","24.6","38.2",NULL,0,NULL,0,13,"{}"
"135","2026-03-21 09:42:52.78693+00","24.9","38.1",NULL,0,NULL,0,13,"{}"
"136","2026-03-21 09:47:52.790344+00","25.6","38.2",NULL,0,NULL,0,13,"{}"
"137","2026-03-21 09:52:52.790873+00","30.8","38.1",NULL,0,NULL,0,13,"{}"
"138","2026-03-21 09:57:52.790131+00","25.8","38.1",NULL,0,NULL,0,13,"{}"
"139","2026-03-21 10:02:52.789683+00","26.8","38.2",NULL,0,NULL,0,13,"{}"
"140","2026-03-21 10:07:52.789584+00","25","38.2",NULL,0,NULL,0,13,"{}"
"141","2026-03-21 10:12:52.790122+00","26.6","38.2",NULL,0,NULL,0,13,"{}"
"142","2026-03-21 10:17:52.790027+00","25.4","38.4",NULL,0,NULL,0,13,"{}"
"143","2026-03-21 10:22:52.790381+00","27.6","38.4",NULL,0,NULL,0,13,"{}"
"144","2026-03-21 10:27:52.790138+00","24.9","38.2",NULL,0,NULL,0,13,"{}"
"145","2026-03-21 10:32:52.79002+00","24.6","38.2",NULL,0,NULL,0,13,"{}"
"146","2026-03-21 10:37:52.791231+00","36.2","38.7",NULL,0,NULL,0,13,"{}"
"147","2026-03-21 10:42:52.794159+00","25.4","38.1",NULL,0,NULL,0,13,"{}"
"148","2026-03-21 10:47:52.793763+00","28.5","38.3",NULL,0,NULL,0,13,"{}"
"149","2026-03-21 10:52:52.794195+00","31.9","38.2",NULL,0,NULL,0,13,"{}"
"150","2026-03-21 10:57:52.792963+00","26.4","38.1",NULL,0,NULL,0,13,"{}"
"151","2026-03-21 11:02:52.793869+00","27.7","38.2",NULL,0,NULL,0,13,"{}"
"152","2026-03-21 11:07:52.792957+00","25.9","38.1",NULL,0,NULL,0,13,"{}"
"153","2026-03-21 11:12:52.793429+00","30.4","38.1",NULL,0,NULL,0,13,"{}"
"154","2026-03-21 11:17:52.793659+00","27.7","38.4",NULL,0,NULL,0,13,"{}"
"155","2026-03-21 11:22:52.793917+00","25.8","38.4",NULL,0,NULL,0,13,"{}"
"156","2026-03-21 11:27:52.79543+00","32.7","38.4",NULL,0,NULL,0,13,"{}"
"157","2026-03-21 11:32:52.794354+00","27.2","38.3",NULL,0,NULL,0,13,"{}"
"158","2026-03-21 11:37:52.796803+00","28.7","38.3",NULL,0,NULL,0,13,"{}"
"159","2026-03-21 11:42:52.796436+00","26.2","38.1",NULL,0,NULL,0,13,"{}"
"160","2026-03-21 11:47:52.796577+00","26.7","38.2",NULL,0,NULL,0,13,"{}"
"161","2026-03-21 11:52:52.796625+00","27.9","38.2",NULL,0,NULL,0,13,"{}"
"162","2026-03-21 11:57:52.796839+00","26","38.1",NULL,0,NULL,0,13,"{}"
"163","2026-03-21 12:02:52.796885+00","28.5","38.4",NULL,0,NULL,0,13,"{}"
"164","2026-03-21 12:07:52.796652+00","26.1","38.2",NULL,0,NULL,0,13,"{}"
"165","2026-03-21 12:12:52.796467+00","26.3","38.1",NULL,0,NULL,0,13,"{}"
"166","2026-03-21 12:17:52.796886+00","28.5","38.6",NULL,0,NULL,0,13,"{}"
"167","2026-03-21 12:22:52.797048+00","27","38.5",NULL,0,NULL,0,13,"{}"
"168","2026-03-21 12:27:52.796714+00","26.4","38.3",NULL,0,NULL,0,13,"{}"
"169","2026-03-21 12:32:52.812695+00","28.1","38.4",NULL,0,NULL,0,13,"{}"
"170","2026-03-21 12:37:52.801426+00","27.8","38.3",NULL,0,NULL,0,13,"{}"
"171","2026-03-21 12:42:52.819183+00","48.4","39.9",NULL,0,NULL,0,13,"{}"
"172","2026-03-21 12:47:52.800973+00","14.7","39.9",NULL,0,NULL,0,13,"{}"
"173","2026-03-21 12:52:52.80108+00","17.3","39.9",NULL,0,NULL,0,13,"{}"
"174","2026-03-21 12:57:52.801146+00","17.8","39.6",NULL,0,NULL,0,13,"{}"
"175","2026-03-21 13:02:52.801002+00","19.5","39.4",NULL,0,NULL,0,13,"{}"
"176","2026-03-21 13:07:52.80018+00","25.8","39.7",NULL,0,NULL,0,13,"{}"
"177","2026-03-21 13:12:52.800157+00","26.1","39",NULL,0,NULL,0,13,"{}"
"178","2026-03-21 13:17:52.800604+00","26","39.3",NULL,0,NULL,0,13,"{}"
"179","2026-03-21 13:22:52.800684+00","28.1","39.1",NULL,0,NULL,0,13,"{}"
"180","2026-03-21 13:27:52.800115+00","25.8","38.9",NULL,0,NULL,0,13,"{}"
"181","2026-03-21 13:32:52.800884+00","25.8","38.8",NULL,0,NULL,0,13,"{}"
"182","2026-03-21 13:37:52.800233+00","26.5","38.9",NULL,0,NULL,0,13,"{}"
"183","2026-03-21 13:42:52.801042+00","25.4","38.9",NULL,0,NULL,0,13,"{}"
"184","2026-03-21 13:47:52.8802+00","26.7","38.9",NULL,0,NULL,0,13,"{}"
"185","2026-03-21 13:52:52.801076+00","27.5","39.1",NULL,0,NULL,0,13,"{}"
"186","2026-03-21 13:57:52.803081+00","34.4","38.9",NULL,0,NULL,0,13,"{}"
"188","2026-03-21 14:07:52.801126+00","26.8","39",NULL,0,NULL,0,13,"{}"
"189","2026-03-21 14:12:52.800767+00","25.7","38.9",NULL,0,NULL,0,13,"{}"
"191","2026-03-21 14:22:52.804953+00","26.6","39",NULL,0,NULL,0,13,"{}"
"192","2026-03-21 14:27:52.804071+00","26.8","38.8",NULL,0,NULL,0,13,"{}"
"193","2026-03-21 14:32:52.804579+00","29.1","39.1",NULL,0,NULL,0,13,"{}"
"195","2026-03-21 14:42:52.804691+00","25","39",NULL,0,NULL,0,13,"{}"
"187","2026-03-21 14:02:52.800544+00","25.9","39",NULL,0,NULL,0,13,"{}"
"190","2026-03-21 14:17:52.800908+00","26","39.2",NULL,0,NULL,0,13,"{}"
"194","2026-03-21 14:37:52.804573+00","29.7","39.2",NULL,0,NULL,0,13,"{}"
"196","2026-03-21 14:47:52.804403+00","25.4","39.2",NULL,0,NULL,0,13,"{}"
"197","2026-03-21 14:52:52.804813+00","25.4","39.1",NULL,0,NULL,0,13,"{}"
"198","2026-03-21 14:57:52.804829+00","27.9","39",NULL,0,NULL,0,13,"{}"
"199","2026-03-21 15:02:52.804418+00","27.5","39",NULL,0,NULL,0,13,"{}"
"200","2026-03-21 15:07:52.804305+00","31.1","39.1",NULL,0,NULL,0,13,"{}"
"201","2026-03-21 15:12:52.80464+00","28.4","39",NULL,0,NULL,0,13,"{}"
"202","2026-03-21 15:17:52.809801+00","27.1","39.2",NULL,0,NULL,0,13,"{}"
"203","2026-03-21 15:22:52.807642+00","28.3","39.1",NULL,0,NULL,0,13,"{}"
"204","2026-03-21 15:27:52.807474+00","27","38.8",NULL,0,NULL,0,13,"{}"
"205","2026-03-21 15:32:52.807088+00","28.4","39",NULL,0,NULL,0,13,"{}"
"206","2026-03-21 15:37:52.807649+00","25.4","39",NULL,0,NULL,0,13,"{}"
"207","2026-03-21 15:42:52.80728+00","25","39",NULL,0,NULL,0,13,"{}"
"208","2026-03-21 15:47:52.807445+00","24.6","39.2",NULL,0,NULL,0,13,"{}"
"209","2026-03-21 15:52:52.807715+00","30.1","39.1",NULL,0,NULL,0,13,"{}"
"210","2026-03-21 15:57:52.812728+00","26.9","39.1",NULL,0,NULL,0,13,"{}"
"211","2026-03-21 16:02:52.807485+00","25.4","39",NULL,0,NULL,0,13,"{}"
"212","2026-03-21 16:07:52.807446+00","25","39",NULL,0,NULL,0,13,"{}"
"213","2026-03-21 16:12:52.81124+00","28.6","38.8",NULL,0,NULL,0,13,"{}"
"214","2026-03-21 16:17:52.810251+00","26.1","39.3",NULL,0,NULL,0,13,"{}"
"215","2026-03-21 16:22:52.811201+00","27.5","39.1",NULL,0,NULL,0,13,"{}"
"216","2026-03-21 16:27:52.810801+00","25.4","39",NULL,0,NULL,0,13,"{}"
"217","2026-03-21 16:32:52.810814+00","25.4","39",NULL,0,NULL,0,13,"{}"
"218","2026-03-21 16:37:52.810631+00","26.6","39.1",NULL,0,NULL,0,13,"{}"
"219","2026-03-21 16:42:52.811768+00","31.3","38.9",NULL,0,NULL,0,13,"{}"
"220","2026-03-21 16:47:52.810509+00","26","39.1",NULL,0,NULL,0,13,"{}"
"221","2026-03-21 16:52:52.810919+00","27.5","39.2",NULL,0,NULL,0,13,"{}"
"222","2026-03-21 16:57:52.810737+00","29.1","39.1",NULL,0,NULL,0,13,"{}"
"223","2026-03-21 17:02:52.811419+00","29.8","39",NULL,0,NULL,0,13,"{}"
"224","2026-03-21 17:07:52.813811+00","26.3","39",NULL,0,NULL,0,13,"{}"
"225","2026-03-21 17:12:52.813549+00","28","38.7",NULL,0,NULL,0,13,"{}"
"226","2026-03-21 17:17:52.81427+00","29","39",NULL,0,NULL,0,13,"{}"
"227","2026-03-21 17:22:52.814179+00","27.6","38.9",NULL,0,NULL,0,13,"{}"
"228","2026-03-21 17:27:52.813854+00","25.4","38.9",NULL,0,NULL,0,13,"{}"
"229","2026-03-21 17:32:52.813965+00","15.5","40",NULL,0,NULL,0,13,"{}"
"230","2026-03-21 17:37:52.814725+00","27.6","39.6",NULL,0,NULL,0,13,"{}"
"231","2026-03-21 17:42:52.814435+00","27.6","39.1",NULL,0,NULL,0,13,"{}"
"232","2026-03-21 17:47:52.814831+00","31.1","39.4",NULL,0,NULL,0,13,"{}"
"233","2026-03-21 17:52:52.818114+00","25","39.3",NULL,0,NULL,0,13,"{}"
"234","2026-03-21 17:57:52.816938+00","25.9","38.9",NULL,0,NULL,0,13,"{}"
"235","2026-03-21 18:02:52.817646+00","27.2","39.2",NULL,0,NULL,0,13,"{}"
"236","2026-03-21 18:07:52.816694+00","25.3","39.3",NULL,0,NULL,0,13,"{}"
"237","2026-03-21 18:12:52.817465+00","27.5","38.8",NULL,0,NULL,0,13,"{}"
"238","2026-03-21 18:17:52.81709+00","25","39.2",NULL,0,NULL,0,13,"{}"
"239","2026-03-21 18:22:52.817329+00","29.6","39.1",NULL,0,NULL,0,13,"{}"
"240","2026-03-21 18:27:52.817053+00","34.6","39.1",NULL,0,NULL,0,13,"{}"
"241","2026-03-21 18:32:52.818061+00","25.1","39.1",NULL,0,NULL,0,13,"{}"
"242","2026-03-21 18:37:52.817644+00","27.4","39.2",NULL,0,NULL,0,13,"{}"
"243","2026-03-21 18:42:52.906908+00","25.4","39",NULL,0,NULL,0,13,"{}"
"244","2026-03-21 18:47:52.821157+00","24.6","39.2",NULL,0,NULL,0,13,"{}"
"245","2026-03-21 18:52:52.820764+00","24.9","39.1",NULL,0,NULL,0,13,"{}"
"246","2026-03-21 18:57:52.820644+00","25.4","39.1",NULL,0,NULL,0,13,"{}"
"247","2026-03-21 19:02:52.820771+00","25","39",NULL,0,NULL,0,13,"{}"
"248","2026-03-21 19:07:52.820779+00","25.4","39",NULL,0,NULL,0,13,"{}"
"249","2026-03-21 19:12:52.820977+00","25.8","39",NULL,0,NULL,0,13,"{}"
"250","2026-03-21 19:17:52.82095+00","26.9","39.9",NULL,0,NULL,0,13,"{}"
"251","2026-03-21 19:22:52.820978+00","24.6","39.8",NULL,0,NULL,0,13,"{}"
"252","2026-03-21 19:27:52.823568+00","28","39.7",NULL,0,NULL,0,13,"{}"
"253","2026-03-21 19:32:52.820493+00","27","39.7",NULL,0,NULL,0,13,"{}"
"254","2026-03-21 19:37:52.820898+00","25.7","39.9",NULL,0,NULL,0,13,"{}"
"255","2026-03-21 19:42:52.906052+00","28.2","39.7",NULL,0,NULL,0,13,"{}"
"256","2026-03-21 19:47:52.824069+00","26.6","39.8",NULL,0,NULL,0,13,"{}"
"257","2026-03-21 19:52:52.82417+00","25.8","39.8",NULL,0,NULL,0,13,"{}"
"258","2026-03-21 19:57:52.831986+00","25.1","39.7",NULL,0,NULL,0,13,"{}"
"259","2026-03-21 20:02:52.824157+00","28.8","39.8",NULL,0,NULL,0,13,"{}"
"260","2026-03-21 20:07:52.824274+00","25","39.7",NULL,0,NULL,0,13,"{}"
"261","2026-03-21 20:12:52.825011+00","26.5","39.6",NULL,0,NULL,0,13,"{}"
"262","2026-03-21 20:17:52.827309+00","22.4","41.9",NULL,0,NULL,0,13,"{}"
"263","2026-03-21 20:22:52.824783+00","28.5","40.6",NULL,0,NULL,0,13,"{}"
"264","2026-03-21 20:27:52.824115+00","28.6","39.7",NULL,0,NULL,0,13,"{}"
"265","2026-03-21 20:32:52.824501+00","28.3","39.8",NULL,0,NULL,0,13,"{}"
"266","2026-03-21 20:37:52.824476+00","25.6","39.9",NULL,0,NULL,0,13,"{}"
"267","2026-03-22 10:27:08.184222+00","100","42.7",NULL,0,NULL,0,13,"{}"
"268","2026-03-22 10:32:07.061763+00","15.6","42.4",NULL,0,NULL,0,13,"{}"
"269","2026-03-22 10:37:07.061531+00","23.7","42.3",NULL,0,NULL,0,13,"{}"
"270","2026-03-22 10:42:07.060449+00","13.3","41.1",NULL,0,NULL,0,13,"{}"
"271","2026-03-22 10:47:07.060491+00","14.7","42.3",NULL,0,NULL,0,13,"{}"
"272","2026-03-22 10:52:07.060898+00","15.3","45.6",NULL,0,NULL,0,13,"{}"
"273","2026-03-22 10:57:07.060419+00","13.1","45",NULL,0,NULL,0,13,"{}"
"274","2026-03-22 11:02:07.063965+00","12.5","44.2",NULL,0,NULL,0,13,"{}"
"275","2026-03-22 11:07:07.063856+00","19.5","44.5",NULL,0,NULL,0,13,"{}"
"276","2026-03-22 11:12:07.064365+00","18.6","45.2",NULL,0,NULL,0,13,"{}"
"277","2026-03-22 11:17:07.067074+00","17.2","39.5",NULL,0,NULL,0,13,"{}"
"278","2026-03-22 11:22:07.063236+00","13.4","42.6",NULL,0,NULL,0,13,"{}"
"279","2026-03-22 11:27:07.064624+00","26.2","43.5",NULL,0,NULL,0,13,"{}"
"280","2026-03-22 11:32:07.064162+00","14.7","44.4",NULL,0,NULL,0,13,"{}"
