"id","hotel_id","url_id","language","legal","legal_info","legal_details","created_at"
"13","96e67105-2cf4-418b-a851-b24d64d0f5aa","0fa5c633-632b-4609-94e6-4240aed48871","en","Legal information","This property is managed, licensed or represented by a business. This label has no relevance in terms of tax, including VAT and other 'indirect taxes', but is required under applicable consumer laws. You can find more information about the business here: See business details .",NULL,"2026-03-20 22:58:37.895509+00"
"14","1a6e8522-7047-4155-b757-addd57d28ba0","7e509834-ef44-484e-8286-616d61ae6bf6","en","Legal information","This property is managed, licensed or represented by a business. This label has no relevance in terms of tax, including VAT and other 'indirect taxes', but is required under applicable consumer laws. You can find more information about the business here: See business details .",NULL,"2026-03-20 23:01:33.750957+00"
"15","63ce8fdd-a82d-44de-8362-79482ad5573a","0fa5c633-632b-4609-94e6-4240aed48871","de","Rechtliche Informationen","Diese Unterkunft wird durch ein Unternehmen verwaltet, lizenziert oder vertreten. Diese Kennzeichnung hat keine steuerliche Relevanz, einschließlich MwSt. und weiterer „indirekter Steuern“. Sie ist jedoch nach geltendem Verbraucherrecht erforderlich. Weitere Informationen zum Unternehmen finden Sie in den: Angaben zum Unternehmen .",NULL,"2026-03-20 23:02:51.070087+00"
"16","cff8aaf7-e8a8-47e4-918b-9636442282ae","7e509834-ef44-484e-8286-616d61ae6bf6","de","Rechtliche Informationen","Diese Unterkunft wird durch ein Unternehmen verwaltet, lizenziert oder vertreten. Diese Kennzeichnung hat keine steuerliche Relevanz, einschließlich MwSt. und weiterer „indirekter Steuern“. Sie ist jedoch nach geltendem Verbraucherrecht erforderlich. Weitere Informationen zum Unternehmen finden Sie in den: Angaben zum Unternehmen .",NULL,"2026-03-20 23:04:09.293058+00"
"17","5cd0b963-5522-4ab5-9ae2-fbe647022c20","0fa5c633-632b-4609-94e6-4240aed48871","it","Informazioni legali","Questa struttura è gestita, autorizzata o rappresentata da un'azienda. Questa definizione non ha rilevanza in termini fiscali, incluse l'IVA e altre ""imposte indirette"", ma è obbligatoria ai sensi delle norme applicabili per la tutela dei consumatori. Per sapere di più sull'azienda, vai a: dettagli dell'azienda .",NULL,"2026-03-20 23:08:19.847711+00"
"18","6e375b00-8d49-471d-9b86-20141b8394de","7e509834-ef44-484e-8286-616d61ae6bf6","it","Informazioni legali","Questa struttura è gestita, autorizzata o rappresentata da un'azienda. Questa definizione non ha rilevanza in termini fiscali, incluse l'IVA e altre ""imposte indirette"", ma è obbligatoria ai sensi delle norme applicabili per la tutela dei consumatori. Per sapere di più sull'azienda, vai a: dettagli dell'azienda .",NULL,"2026-03-20 23:09:39.499187+00"
"19","8df7af18-d3bb-490c-a052-c3fd7ea1f5e7","0fa5c633-632b-4609-94e6-4240aed48871","nl","Juridische informatie","Deze accommodatie wordt beheerd, gelicentieerd of vertegenwoordigd door een bedrijf. Dit label heeft geen relevantie voor wat betreft belasting, inclusief btw en andere 'indirecte belastingen'. Het is echter een vereiste onder het van toepassing zijnde consumentenrecht. Meer informatie over het bedrijf vind je hier: Bekijk bedrijfsgegevens .",NULL,"2026-03-20 23:10:58.037371+00"
"20","5413018a-c587-48ee-8618-3675eeba8099","7e509834-ef44-484e-8286-616d61ae6bf6","nl","Juridische informatie","Deze accommodatie wordt beheerd, gelicentieerd of vertegenwoordigd door een bedrijf. Dit label heeft geen relevantie voor wat betreft belasting, inclusief btw en andere 'indirecte belastingen'. Het is echter een vereiste onder het van toepassing zijnde consumentenrecht. Meer informatie over het bedrijf vind je hier: Bekijk bedrijfsgegevens .",NULL,"2026-03-20 23:12:32.40912+00"
"21","fbdc09da-3d08-44d3-9a34-86a3c52c3409","2741d8d5-15c8-42f2-91ca-744414e755f1","es","Información legal e importante","Información legal e importante",NULL,"2026-03-20 23:16:27.301464+00"
"22","742f629d-a0d9-44e9-9ec2-840919a883e6","a1da6af5-6d39-481c-98ab-b162305f9118","es","Información legal e importante","Información legal e importante",NULL,"2026-03-20 23:17:57.483535+00"
"23","66e5f2d5-3972-495d-94cc-902aae087365","2741d8d5-15c8-42f2-91ca-744414e755f1","en","Legal information","This property is managed, licensed or represented by a business. This label has no relevance in terms of tax, including VAT and other 'indirect taxes', but is required under applicable consumer laws. You can find more information about the business here: See business details .",NULL,"2026-03-20 23:20:52.765156+00"
"24","8df16feb-4308-40d9-8e2c-d1ce84a899a7","a1da6af5-6d39-481c-98ab-b162305f9118","en","Legal information","This property is managed, licensed or represented by a business. This label has no relevance in terms of tax, including VAT and other 'indirect taxes', but is required under applicable consumer laws. You can find more information about the business here: See business details .",NULL,"2026-03-20 23:23:40.597678+00"
"27","dcc38fe7-5d6d-4d7c-8f70-7ee609169902","2741d8d5-15c8-42f2-91ca-744414e755f1","it","Informazioni legali","Questa struttura è gestita, autorizzata o rappresentata da un'azienda. Questa definizione non ha rilevanza in termini fiscali, incluse l'IVA e altre ""imposte indirette"", ma è obbligatoria ai sensi delle norme applicabili per la tutela dei consumatori. Per sapere di più sull'azienda, vai a: dettagli dell'azienda .",NULL,"2026-03-20 23:30:26.541478+00"
"28","5876c867-fc58-4e96-94ff-151fa2f2d22b","a1da6af5-6d39-481c-98ab-b162305f9118","it","Informazioni legali","Questa struttura è gestita, autorizzata o rappresentata da un'azienda. Questa definizione non ha rilevanza in termini fiscali, incluse l'IVA e altre ""imposte indirette"", ma è obbligatoria ai sensi delle norme applicabili per la tutela dei consumatori. Per sapere di più sull'azienda, vai a: dettagli dell'azienda .",NULL,"2026-03-20 23:31:44.804798+00"
"29","3e161e05-3ff3-4fb6-ab7b-0ffc2c4fbcd1","2741d8d5-15c8-42f2-91ca-744414e755f1","nl","Juridische informatie","Deze accommodatie wordt beheerd, gelicentieerd of vertegenwoordigd door een bedrijf. Dit label heeft geen relevantie voor wat betreft belasting, inclusief btw en andere 'indirecte belastingen'. Het is echter een vereiste onder het van toepassing zijnde consumentenrecht. Meer informatie over het bedrijf vind je hier: Bekijk bedrijfsgegevens .",NULL,"2026-03-20 23:33:05.063727+00"
