id,hotel_id,id_photo,category,url,name_jpg,local_path,file_size_bytes,content_type,status,error_message,created_at,downloaded_at
a288ce6f-8566-4389-84bc-62bf7978e409,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123968,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/427123968.jpg?k=253bdad3f9dfbf0c86aebbe4c079dca79439a49f3ae702eb40980f509d98ab33&o=&hp=1,427123968.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123968_highr.jpg,85696,image/jpeg,done,,2026-06-02 23:48:17.73221+01,2026-06-02 23:48:17.731792+01
248dd84c-5033-467d-af17-cb2b2eb1c577,4f174a9a-a1d0-42ea-b079-27c3afe81f48,689962673,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/689962673.jpg?k=d43ee53c23f96c2e26c688c98f9fffeb177082f21a9bfe7b7cdd508899d4327f&o=&hp=1,689962673.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\689962673_thumb.jpg,8807,image/jpeg,done,,2026-06-02 23:48:17.887335+01,2026-06-02 23:48:17.886944+01
d9e1c81d-9d4d-423d-ad74-b8423453320a,4f174a9a-a1d0-42ea-b079-27c3afe81f48,689962673,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/689962673.jpg?k=d43ee53c23f96c2e26c688c98f9fffeb177082f21a9bfe7b7cdd508899d4327f&o=&hp=1,689962673.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\689962673_highr.jpg,114255,image/jpeg,done,,2026-06-02 23:48:17.904487+01,2026-06-02 23:48:17.904031+01
1650dae5-b889-44a9-bc79-2aa0b4060453,4f174a9a-a1d0-42ea-b079-27c3afe81f48,689962673,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/689962673.jpg?k=d43ee53c23f96c2e26c688c98f9fffeb177082f21a9bfe7b7cdd508899d4327f&o=&hp=1,689962673.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\689962673_large.jpg,88081,image/jpeg,done,,2026-06-02 23:48:17.961141+01,2026-06-02 23:48:17.960666+01
4b964959-7da7-4d5c-ba21-8711e11b22dd,4f174a9a-a1d0-42ea-b079-27c3afe81f48,415139241,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/415139241.jpg?k=65673512c5a712372c2ba085b27e6c563b9712f0fe4d2a1dc8430e42bd29be2e&o=&hp=1,415139241.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\415139241_large.jpg,109555,image/jpeg,done,,2026-06-02 23:48:18.116971+01,2026-06-02 23:48:18.11651+01
484fcb1b-c40d-4db1-a19d-ad8e91cca04f,4f174a9a-a1d0-42ea-b079-27c3afe81f48,415139241,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/415139241.jpg?k=65673512c5a712372c2ba085b27e6c563b9712f0fe4d2a1dc8430e42bd29be2e&o=&hp=1,415139241.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\415139241_thumb.jpg,6529,image/jpeg,done,,2026-06-02 23:48:18.129738+01,2026-06-02 23:48:18.129314+01
a2412eee-9056-4c8c-ab3c-9775d564d0cc,4f174a9a-a1d0-42ea-b079-27c3afe81f48,415139241,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/415139241.jpg?k=65673512c5a712372c2ba085b27e6c563b9712f0fe4d2a1dc8430e42bd29be2e&o=&hp=1,415139241.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\415139241_highr.jpg,145067,image/jpeg,done,,2026-06-02 23:48:18.193984+01,2026-06-02 23:48:18.193584+01
e1fed268-ef05-411e-aeb8-fa7a496fa104,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427122415,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/427122415.jpg?k=7c9d12d62540c2d7c02769c76b923ff13730e97c65166d52c7ebbe81b3eb96b5&o=&hp=1,427122415.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427122415_large.jpg,50466,image/jpeg,done,,2026-06-02 23:48:18.30027+01,2026-06-02 23:48:18.299794+01
41817fa8-8635-4ce2-87f4-d55bfdea7478,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427122415,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/427122415.jpg?k=7c9d12d62540c2d7c02769c76b923ff13730e97c65166d52c7ebbe81b3eb96b5&o=&hp=1,427122415.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427122415_highr.jpg,66364,image/jpeg,done,,2026-06-02 23:48:18.32005+01,2026-06-02 23:48:18.319761+01
0a410351-5d27-4bff-a19f-f0775748c79e,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427122415,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/427122415.jpg?k=7c9d12d62540c2d7c02769c76b923ff13730e97c65166d52c7ebbe81b3eb96b5&o=&hp=1,427122415.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427122415_thumb.jpg,5049,image/jpeg,done,,2026-06-02 23:48:18.339347+01,2026-06-02 23:48:18.339069+01
2d58be2d-dbd5-43d6-8611-46c4e4d20d22,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646599,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/428646599.jpg?k=9d677bfcc0d81af55897bff4e215b9dd65c8132bd3079cd8dfbecfffb825657d&o=&hp=1,428646599.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646599_thumb.jpg,6355,image/jpeg,done,,2026-06-02 23:48:18.488571+01,2026-06-02 23:48:18.487803+01
d4322272-aa65-4213-b31f-2e617cb9d668,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646599,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/428646599.jpg?k=9d677bfcc0d81af55897bff4e215b9dd65c8132bd3079cd8dfbecfffb825657d&o=&hp=1,428646599.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646599_large.jpg,89034,image/jpeg,done,,2026-06-02 23:48:18.502463+01,2026-06-02 23:48:18.502175+01
a1626bac-02ae-48c7-b6b4-4e9331c46fb8,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646599,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/428646599.jpg?k=9d677bfcc0d81af55897bff4e215b9dd65c8132bd3079cd8dfbecfffb825657d&o=&hp=1,428646599.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646599_highr.jpg,113357,image/jpeg,done,,2026-06-02 23:48:18.541475+01,2026-06-02 23:48:18.541023+01
9aad0386-ab84-44a2-825a-0fa13f9e6eea,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646598,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/428646598.jpg?k=683570bc9299611cf6ecc142c74a3f07b8f410d54644cb18cfcb191f4107dc47&o=&hp=1,428646598.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646598_large.jpg,60972,image/jpeg,done,,2026-06-02 23:48:18.654241+01,2026-06-02 23:48:18.653783+01
7907ab6d-87ea-4501-b125-f78f01dc1e0a,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646598,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/428646598.jpg?k=683570bc9299611cf6ecc142c74a3f07b8f410d54644cb18cfcb191f4107dc47&o=&hp=1,428646598.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646598_thumb.jpg,5276,image/jpeg,done,,2026-06-02 23:48:18.68694+01,2026-06-02 23:48:18.686519+01
20bbe28e-fd2a-4033-834f-0aa5a296192f,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646598,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/428646598.jpg?k=683570bc9299611cf6ecc142c74a3f07b8f410d54644cb18cfcb191f4107dc47&o=&hp=1,428646598.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646598_highr.jpg,78082,image/jpeg,done,,2026-06-02 23:48:18.699539+01,2026-06-02 23:48:18.699177+01
c8362a4e-a3e2-4609-8527-0a450a27cf8f,4f174a9a-a1d0-42ea-b079-27c3afe81f48,560435496,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/560435496.jpg?k=cd921bfcac221ae4239efa2802442a871b6343544dcadc507cb13e6715d94c93&o=&hp=1,560435496.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\560435496_large.jpg,60192,image/jpeg,done,,2026-06-02 23:48:18.81856+01,2026-06-02 23:48:18.818259+01
d3c9cfb7-2451-41ac-b331-81d8a7473516,4f174a9a-a1d0-42ea-b079-27c3afe81f48,560435496,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/560435496.jpg?k=cd921bfcac221ae4239efa2802442a871b6343544dcadc507cb13e6715d94c93&o=&hp=1,560435496.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\560435496_thumb.jpg,4599,image/jpeg,done,,2026-06-02 23:48:18.844486+01,2026-06-02 23:48:18.844061+01
80bb9d6f-8a1d-46c7-b86f-a3ae8f40c2ec,4f174a9a-a1d0-42ea-b079-27c3afe81f48,560435496,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/560435496.jpg?k=cd921bfcac221ae4239efa2802442a871b6343544dcadc507cb13e6715d94c93&o=&hp=1,560435496.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\560435496_highr.jpg,77334,image/jpeg,done,,2026-06-02 23:48:18.87742+01,2026-06-02 23:48:18.876991+01
d7d9a690-218a-40d5-912d-9431285649cd,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123222,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/427123222.jpg?k=060ecae37716f02cc82bd5431e516c4134e3925dd0bf2abf801d16daaa4548d1&o=&hp=1,427123222.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123222_large.jpg,46176,image/jpeg,done,,2026-06-02 23:48:18.977286+01,2026-06-02 23:48:18.976864+01
5e467530-26f4-47af-8f99-8b242ccc59cc,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123222,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/427123222.jpg?k=060ecae37716f02cc82bd5431e516c4134e3925dd0bf2abf801d16daaa4548d1&o=&hp=1,427123222.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123222_thumb.jpg,4445,image/jpeg,done,,2026-06-02 23:48:19.023416+01,2026-06-02 23:48:19.02299+01
f39f8c04-bc25-4439-8bf0-58cb2f464568,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123222,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/427123222.jpg?k=060ecae37716f02cc82bd5431e516c4134e3925dd0bf2abf801d16daaa4548d1&o=&hp=1,427123222.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123222_highr.jpg,63514,image/jpeg,done,,2026-06-02 23:48:19.032269+01,2026-06-02 23:48:19.031887+01
191a5a57-8788-4d9f-b7ab-1de8034c2ca7,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123278,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/427123278.jpg?k=cb89b70b4bbd47f20d025077326c2795bacc969ffad78a882994f0f511ea8ce1&o=&hp=1,427123278.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123278_large.jpg,50774,image/jpeg,done,,2026-06-02 23:48:19.138306+01,2026-06-02 23:48:19.137865+01
9bacdee4-f733-4a87-bdc8-f2976c846c73,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123278,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/427123278.jpg?k=cb89b70b4bbd47f20d025077326c2795bacc969ffad78a882994f0f511ea8ce1&o=&hp=1,427123278.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123278_thumb.jpg,4855,image/jpeg,done,,2026-06-02 23:48:19.181906+01,2026-06-02 23:48:19.181449+01
0d8c7dda-44d2-4c70-b69b-1b9882cb8782,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123278,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/427123278.jpg?k=cb89b70b4bbd47f20d025077326c2795bacc969ffad78a882994f0f511ea8ce1&o=&hp=1,427123278.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123278_highr.jpg,69821,image/jpeg,done,,2026-06-02 23:48:19.209851+01,2026-06-02 23:48:19.209431+01
be9b1bb8-6b27-4bf6-8380-6d553fac18b6,4f174a9a-a1d0-42ea-b079-27c3afe81f48,415139239,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/415139239.jpg?k=92c7abc0b4b61c94e1e7b540bca973a9d455f5e4e2a894fceeac2972efecccbc&o=&hp=1,415139239.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\415139239_thumb.jpg,5936,image/jpeg,done,,2026-06-02 23:48:19.357002+01,2026-06-02 23:48:19.356678+01
857743af-5d06-42d8-bc6c-18fc1deea956,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427155743,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/427155743.jpg?k=a5a12a95fba566d73d6e47ab33e9aa754db572cb468b654ab5728635146b9854&o=&hp=1,427155743.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427155743_large.jpg,53293,image/jpeg,done,,2026-06-02 23:48:19.478953+01,2026-06-02 23:48:19.478357+01
876dd335-306a-4d7e-b776-a4e9addc3902,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427155743,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/427155743.jpg?k=a5a12a95fba566d73d6e47ab33e9aa754db572cb468b654ab5728635146b9854&o=&hp=1,427155743.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427155743_highr.jpg,73827,image/jpeg,done,,2026-06-02 23:48:19.546527+01,2026-06-02 23:48:19.546123+01
af462c36-8131-48eb-91df-0b3563d83c6d,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427125285,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/427125285.jpg?k=54cc99248c1057e669e649465d1855fee03849aec9c78dab23b54e516a9bce1c&o=&hp=1,427125285.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427125285_thumb.jpg,4652,image/jpeg,done,,2026-06-02 23:48:19.693487+01,2026-06-02 23:48:19.693039+01
1f55c748-11fe-45f1-9a0c-55bdcff07412,4f174a9a-a1d0-42ea-b079-27c3afe81f48,582483819,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/582483819.jpg?k=39f5a57d460d64fc1c81496d42bfe450f4571b531dcf7e3d1c4b14c248d58706&o=&hp=1,582483819.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\582483819_large.jpg,61370,image/jpeg,done,,2026-06-02 23:48:19.813141+01,2026-06-02 23:48:19.812711+01
