"id","hotel_id","url_id","language","popular_service","created_at"
"89","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","Flughafentransfer (kostenlos)","2026-03-23 02:35:07.679596+00"
"90","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","Spa & Wellnesscenter","2026-03-23 02:35:07.679597+00"
"91","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","Nichtraucherzimmer","2026-03-23 02:35:07.679597+00"
"92","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","Fitnesscenter","2026-03-23 02:35:07.679598+00"
"93","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","am Strand","2026-03-23 02:35:07.679598+00"
"94","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","WLAN inklusive","2026-03-23 02:35:07.679599+00"
"95","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","Bar","2026-03-23 02:35:07.6796+00"
"96","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","Privater Strand","2026-03-23 02:35:07.6796+00"
"97","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","Frühstück","2026-03-23 02:35:07.679601+00"
"98","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","101 Einrichtungen anzeigen","2026-03-23 02:35:07.679601+00"
"99","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Außenpool","2026-03-23 02:36:24.597194+00"
"100","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Spa & Wellnesscenter","2026-03-23 02:36:24.597197+00"
"101","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Fitnesscenter","2026-03-23 02:36:24.597198+00"
"102","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Restaurant","2026-03-23 02:36:24.597199+00"
"103","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","WLAN inklusive","2026-03-23 02:36:24.597199+00"
"104","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Parkplatz inbegriffen","2026-03-23 02:36:24.5972+00"
"105","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Nichtraucherzimmer","2026-03-23 02:36:24.5972+00"
"106","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Kaffee- und Teezubehör in allen Zimmern","2026-03-23 02:36:24.597201+00"
"107","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Bar","2026-03-23 02:36:24.597201+00"
"108","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","Frühstück","2026-03-23 02:36:24.597202+00"
"109","a1cbd96a-dc10-41f3-81fa-4e72a22ada7e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","de","88 Einrichtungen anzeigen","2026-03-23 02:36:24.597203+00"
"110","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Piscina scoperta","2026-03-23 02:37:41.330503+00"
"111","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Navetta aeroportuale (gratuita)","2026-03-23 02:37:41.330506+00"
"112","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Spa & centro benessere","2026-03-23 02:37:41.330507+00"
"113","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Camere non fumatori","2026-03-23 02:37:41.330507+00"
"114","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Palestra","2026-03-23 02:37:41.330508+00"
"115","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Fronte spiaggia","2026-03-23 02:37:41.330509+00"
"116","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Connessione WiFi gratuita","2026-03-23 02:37:41.330509+00"
"117","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Bar","2026-03-23 02:37:41.33051+00"
"118","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Spiaggia privata","2026-03-23 02:37:41.33051+00"
"119","59ec7400-56d1-4611-b6a1-540be2370fd1","82120e1b-3dd5-41a2-804b-86504d39fed6","it","Colazione","2026-03-23 02:37:41.330511+00"
"120","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Piscina scoperta","2026-03-23 02:39:12.097395+00"
"121","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Spa & centro benessere","2026-03-23 02:39:12.097398+00"
"122","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Palestra","2026-03-23 02:39:12.097399+00"
"123","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Ristorante","2026-03-23 02:39:12.0974+00"
"124","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Connessione WiFi gratuita","2026-03-23 02:39:12.097401+00"
"125","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Parcheggio gratuito","2026-03-23 02:39:12.097401+00"
"126","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Camere non fumatori","2026-03-23 02:39:12.097402+00"
"127","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","bollitore tè / macchina caffè in tutte le camere","2026-03-23 02:39:12.097403+00"
"128","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Bar","2026-03-23 02:39:12.097403+00"
"129","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Colazione","2026-03-23 02:39:12.097404+00"
"130","a141bb25-8a07-4589-96e0-e8c04f1c3444","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","it","Vedi tutti e 88 i servizi","2026-03-23 02:39:12.097405+00"
"131","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","2 piscinas","2026-03-23 02:40:30.570607+00"
"132","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","Situado frente a la playa","2026-03-23 02:40:30.570611+00"
"133","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","WiFi gratis","2026-03-23 02:40:30.570612+00"
"134","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","Habitaciones familiares","2026-03-23 02:40:30.570613+00"
"135","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","Habitaciones sin humo","2026-03-23 02:40:30.570613+00"
"136","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","Spa y centro de bienestar","2026-03-23 02:40:30.570614+00"
"137","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","Tetera/cafetera en todas las habitaciones","2026-03-23 02:40:30.570614+00"
"138","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","Bar","2026-03-23 02:40:30.570615+00"
"139","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","Zona privada de playa","2026-03-23 02:40:30.570616+00"
"140","2b43fe4e-d4ac-4426-8f18-ad98a631b6ed","e577917d-6ee3-4c33-a6dc-2b4d5662f142","es","Desayuno","2026-03-23 02:40:30.570616+00"
"141","9d49384c-5a2c-4172-9308-af9fd16fe214","1a54b67d-01db-4e6c-88fb-208392d58712","es","Piscina al aire libre","2026-03-23 02:41:49.086923+00"
"142","9d49384c-5a2c-4172-9308-af9fd16fe214","1a54b67d-01db-4e6c-88fb-208392d58712","es","WiFi gratis","2026-03-23 02:41:49.086927+00"
"143","9d49384c-5a2c-4172-9308-af9fd16fe214","1a54b67d-01db-4e6c-88fb-208392d58712","es","Habitaciones familiares","2026-03-23 02:41:49.086929+00"
"144","9d49384c-5a2c-4172-9308-af9fd16fe214","1a54b67d-01db-4e6c-88fb-208392d58712","es","Parking gratis","2026-03-23 02:41:49.08693+00"
"145","9d49384c-5a2c-4172-9308-af9fd16fe214","1a54b67d-01db-4e6c-88fb-208392d58712","es","Habitaciones sin humo","2026-03-23 02:41:49.086931+00"
"146","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","2 swimming pools","2026-03-23 02:44:44.633377+00"
"147","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Beachfront","2026-03-23 02:44:44.63338+00"
"148","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Free WiFi","2026-03-23 02:44:44.633381+00"
"149","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Family rooms","2026-03-23 02:44:44.633381+00"
"150","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Non-smoking rooms","2026-03-23 02:44:44.633382+00"
"151","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Spa and wellness centre","2026-03-23 02:44:44.633383+00"
"152","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Tea/coffee maker in all rooms","2026-03-23 02:44:44.633383+00"
"153","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Bar","2026-03-23 02:44:44.633384+00"
"154","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Private beach area","2026-03-23 02:44:44.633384+00"
"155","3e3ed7cb-e0d5-4170-ba42-edbcf19a3f45","e577917d-6ee3-4c33-a6dc-2b4d5662f142","en","Breakfast","2026-03-23 02:44:44.633385+00"
"156","b243f790-9c5a-45f1-a17c-947d21e7a8f7","1a54b67d-01db-4e6c-88fb-208392d58712","en","Outdoor swimming pool","2026-03-23 02:47:35.733076+00"
"157","b243f790-9c5a-45f1-a17c-947d21e7a8f7","1a54b67d-01db-4e6c-88fb-208392d58712","en","Free WiFi","2026-03-23 02:47:35.733079+00"
"158","b243f790-9c5a-45f1-a17c-947d21e7a8f7","1a54b67d-01db-4e6c-88fb-208392d58712","en","Family rooms","2026-03-23 02:47:35.73308+00"
"159","b243f790-9c5a-45f1-a17c-947d21e7a8f7","1a54b67d-01db-4e6c-88fb-208392d58712","en","Free parking","2026-03-23 02:47:35.73308+00"
