external_ref,url_id,hotel_id,length_description,img_highres_count,count_service_category,count_service,hotel_review_score,hotel_review_count,base_url,book_lenght,book_imagenes,book_count_service_category,book_count_service,book_review_score,book_review_count,book_quality,book_destino_Turistico,book_destino_General
76212,056a3aa1-98f7-4dd8-8619-44cf8f37b3c5,d338661e-6bcb-4669-8321-46c457b0bdb2,767,45,11,46,8.3,3189,https://www.booking.com/hotel/at/ibis-styles-graz-messe.html,777,98,4,13,8.3,3183,3,Graz,Austria
76213,47665b93-6967-453c-bd96-cb35e4e64d8a,36183770-8dad-434c-a531-5f8a27c33189,752,45,12,102,9.1,1543,https://www.booking.com/hotel/at/schlossberg.html,752,75,5,14,9.1,154,0,Graz,Austria
76214,ef7e84c7-58f8-469a-acb7-eba4d129f145,5519c015-013f-4eeb-a0f2-17d45905744b,893,26,8,20,7.5,1207,https://www.booking.com/hotel/at/wasser-palast.html,893,26,10,22,7.5,1226,2,Graz,Austria
76220,54624b41-ee64-47c5-b553-fc81b3a70f5d,4a122fa9-3b90-4ba0-a707-a2500dc443ae,662,45,12,69,9.5,1392,https://www.booking.com/hotel/at/kai-36-graz.html,662,93,5,15,9.5,1395,5,Graz,Austria
76221,f7d98d3d-2bdb-453b-9014-5616658107d8,,0,0,0,0,0,0,https://www.booking.com/hotel/at/minihotel-graz.html,0,0,4,9,0,0,,,
76224,d2caf9bc-2447-4c5c-b00e-16ac2230820f,87275a79-8463-4124-bb9e-cf076294c967,830,45,12,60,8.7,6403,https://www.booking.com/hotel/at/radisson-graz.html,840,84,17,66,8.7,6164,0,Graz,Austria
76372,84a35243-b986-4727-bea1-a72e4df38c1f,d82d5c5c-b09a-482d-9154-abced8c03ecf,1194,45,11,102,8.9,1008,https://www.booking.com/hotel/at/hotelbristolsalzburg.html,1194,67,6,27,8.8,1014,5,Salzburg,Austria
76374,2f591cc2-0fce-47a0-b272-3660545d4772,0d3b3780-e6be-468b-88a9-0da0b92b3a88,1105,45,10,94,9.5,792,https://www.booking.com/hotel/at/hotelsachersalzburg.html,1105,98,6,28,9.5,800,5,Salzburg,Austria
76384,3dbeb27a-5974-44ae-aa0a-5377d854dba2,feedbbae-7701-4138-8121-9e8319ebbf0a,925,45,10,74,9.5,291,https://www.booking.com/hotel/at/goldenerhirschsalzburg.html,925,67,6,26,9.6,292,5,Salzburg,Austria
76386,e86c0425-c425-4a7c-a073-911a47f16318,3a2e8da9-d4f6-4c02-9e64-4ce404a9e112,1341,45,11,91,9.7,179,https://www.booking.com/hotel/at/schloss-monchstein.html,1341,221,6,28,9.7,183,5,Salzburg,Austria
76399,f2858f78-8584-4cbc-b790-efce2259cac9,99b4120d-5b27-4a04-977f-bbdb24678d1f,1041,45,13,153,9.2,477,https://www.booking.com/hotel/at/posthotel-achenkirch.html,1051,85,5,16,9.2,470,5,Achenkirch,Austria
