id,url_id,language,status,attempts,last_error,created_at,updated_at
f445248c-3114-420a-ac97-6d14474763fc,daf2a1a7-cd80-4f4e-9e0a-84a38ddd0969,fr,done,1,,2026-04-06 21:02:25.134904+01,2026-04-06 21:02:25.134904+01
dc7c904d-c36d-4bc3-9c30-6be7bbc02a11,7c9c8e1b-beeb-4f69-a249-b4643aa943e3,pt,done,1,,2026-04-06 21:02:59.858292+01,2026-04-06 21:02:59.858292+01
1660632e-b59f-4293-87a5-5bb0c5150c5f,daf2a1a7-cd80-4f4e-9e0a-84a38ddd0969,pt,done,1,,2026-04-06 21:03:14.082137+01,2026-04-06 21:03:14.082137+01
deaad590-4533-4c05-b27b-d25944c763d7,041f63dc-c6a9-47bf-ad1d-74d5484ddc02,en,done,1,,2026-04-06 21:04:06.462475+01,2026-04-06 21:04:06.462475+01
ff24bdb9-34a9-48b5-9d97-c600cd6676b9,b9ed4ee4-68e2-44b8-abc0-42ff0cc19484,en,done,1,,2026-04-06 21:04:26.883101+01,2026-04-06 21:04:26.883101+01
3c914645-0508-4be6-bee0-b91193d2a7a9,041f63dc-c6a9-47bf-ad1d-74d5484ddc02,es,done,1,,2026-04-06 21:04:34.699986+01,2026-04-06 21:04:34.699986+01
16f3213f-3ea8-48b6-b975-638ef5b5252d,b9ed4ee4-68e2-44b8-abc0-42ff0cc19484,es,done,1,,2026-04-06 21:05:14.352265+01,2026-04-06 21:05:14.352265+01
ad436434-7d41-4ddc-a6e6-4a49c33fc9b2,041f63dc-c6a9-47bf-ad1d-74d5484ddc02,de,done,1,,2026-04-06 21:05:28.867999+01,2026-04-06 21:05:28.867999+01
cc327a81-fed4-47d0-9e46-0b428b99c882,b9ed4ee4-68e2-44b8-abc0-42ff0cc19484,de,done,1,,2026-04-06 21:05:42.872429+01,2026-04-06 21:05:42.872429+01
7cbd0dd8-4a54-4366-a5d4-b6afb32a37b5,041f63dc-c6a9-47bf-ad1d-74d5484ddc02,it,done,1,,2026-04-06 21:06:22.075038+01,2026-04-06 21:06:22.075038+01
