# SQL =
["SELECT al.url_id , al.hotel_id , h.hotel_name , al.language, al.service_category , service 
FROM hotels_all_services al
LEFT JOIN hotels h ON al.url_id = h.url_id and al.language = h.language and al.hotel_id = h.id 
WHERE hotel_name in('wild & bolz eMotel','vidimo se','Hotel Aquamarin')
AND al.language in ('es','en')
ORDER BY al.url_id , al.language , al.service_category"]
 
## RESULT =
[
url_id,hotel_id,hotel_name,language,service_category,service
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Terraza
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Suelo de madera o parquet
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Balcón
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Aseo adicional
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Sauna
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Salas de reuniones / banquetes De pago
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Registro de entrada / salida privado
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Proporciona factura
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Ping pong
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Parking gratis
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Parking adaptado para personas de movilidad reducida
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Parking
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Vino / champán De pago
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Mobiliario exterior
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Llave de acceso
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Jardín
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Húngaro
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Habitaciones sin humo
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Habitaciones familiares
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Fruta De pago
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Extintores
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Zona de pícnic
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Zona de juegos interior
