"id","hotel_id","url_id","language","highlights","created_at","updated_at"
"2e7dd778-d1c6-4d56-bd3e-c7951116ee8b","5413018a-c587-48ee-8618-3675eeba8099","7e509834-ef44-484e-8286-616d61ae6bf6","nl","<div><span><span><span><span><button><span><span></span></span><span>Accommodatie opslaan</span></button></span></span></span></span></div>","2026-03-20 23:12:32.42425+00","2026-03-20 23:12:32.424253+00"
"f09ad5a0-7683-494b-b525-7841821bfe63","48fa9c12-347f-4592-a52a-58aa05a07326","7e509834-ef44-484e-8286-616d61ae6bf6","pt","<div><span><span><span><span><button><span><span></span></span><span>Guardar o alojamento</span></button></span></span></span></span></div>","2026-03-20 23:15:10.025359+00","2026-03-20 23:15:10.025362+00"
"a9f8da30-2874-40e6-b18d-d0f086086358","97ec43f2-2edb-482b-82da-af2d71cf3253","2741d8d5-15c8-42f2-91ca-744414e755f1","de","<div><span><span><span><span><button><span><span></span></span><span>Unterkunft speichern</span></button></span></span></span></span></div>","2026-03-20 23:24:58.707295+00","2026-03-20 23:24:58.707298+00"
"76c0b043-4333-449b-b162-58ed584ec54d","c8e93e77-5096-4833-ba68-11ae595c0e5a","a1da6af5-6d39-481c-98ab-b162305f9118","de","<div><span><span><span><span><button><span><span></span></span><span>Unterkunft speichern</span></button></span></span></span></span></div>","2026-03-20 23:26:17.242972+00","2026-03-20 23:26:17.242975+00"
"249a0478-b8aa-4a4d-bb0a-b1c8199be610","fff45044-56cd-49c4-9860-5d04cc8750c2","4356f819-e6aa-42f8-b349-bd9ceb370bee","pt","<div><div><ul><li><div><div><span></span></div></div><div><div>Pequeno-almoço</div></div></li><li><div><div><span></span></div></div><div><div>2 piscinas </div></div></li><li><div><div><span></span></div></div><div><div>8 restaurantes</div></div></li><li><div><div><span></span></div></div><div><div>Spa e centro de bem-estar</div></div></li><li><div><div><span></span></div></div><div><div>Acesso Wi-Fi gratuito</div></div></li><li><div><div><span></span></div></div><div><div>Transfer (aeroporto)</div></div></li><li><div><div><span></span></div></div><div><div>Varanda</div></div></li><li><div><div><span></span></div></div><div><div>Comodidades para pessoas com mobilidade condicionada</div></div></li><li><div><div><span></span></div></div><div><div>Casa de banho privativa</div></div></li><li><div><div><span></span></div></div><div><div>Vista</div></div></li></ul></div></div>","2026-03-20 22:51:29.246404+00","2026-03-20 22:51:29.246406+00"
"e8cfd4b2-1913-4d3e-bc10-ae25c43f3ebd","a2a7a301-54f8-4a3e-af0b-5fd4d84d000d","0fa5c633-632b-4609-94e6-4240aed48871","es","<div><div><ul><li><div><div><span></span></div></div><div><div>Desayuno</div></div></li><li><div><div><span></span></div></div><div><div>Parking gratis en el alojamiento</div></div></li><li><div><div><span></span></div></div><div><div>Piscina al aire libre</div></div></li><li><div><div><span></span></div></div><div><div>4 restaurantes</div></div></li><li><div><div><span></span></div></div><div><div>Spa y centro de bienestar</div></div></li><li><div><div><span></span></div></div><div><div>WiFi gratis</div></div></li><li><div><div><span></span></div></div><div><div>Balcón</div></div></li><li><div><div><span></span></div></div><div><div>Traslado aeropuerto (gratis)</div></div></li><li><div><div><span></span></div></div><div><div>Baño privado</div></div></li><li><div><div><span></span></div></div><div><div>Vistas al mar</div></div></li></ul></div></div>","2026-03-20 22:54:04.818735+00","2026-03-20 22:54:04.818738+00"
"264f0e19-ca65-4d81-a974-bf61092edd65","e3c5d548-592c-4edb-9802-ea94b6f97e11","7e509834-ef44-484e-8286-616d61ae6bf6","es","<div><span><span><span><span><button><span><span></span></span><span>Guardar el alojamiento</span></button></span></span></span></span></div>","2026-03-20 22:55:46.734511+00","2026-03-20 22:55:46.734515+00"
"bd724bab-f511-4f76-a792-355cd1e9b47c","96e67105-2cf4-418b-a851-b24d64d0f5aa","0fa5c633-632b-4609-94e6-4240aed48871","en","<div><div><ul><li><div><div><span></span></div></div><div><div>Breakfast</div></div></li><li><div><div><span></span></div></div><div><div>Free on-site parking</div></div></li><li><div><div><span></span></div></div><div><div>Outdoor swimming pool</div></div></li><li><div><div><span></span></div></div><div><div>4 restaurants</div></div></li><li><div><div><span></span></div></div><div><div>Spa and wellness centre</div></div></li><li><div><div><span></span></div></div><div><div>Balcony</div></div></li><li><div><div><span></span></div></div><div><div>Free WiFi</div></div></li><li><div><div><span></span></div></div><div><div>Airport shuttle (free)</div></div></li><li><div><div><span></span></div></div><div><div>Private bathroom</div></div></li><li><div><div><span></span></div></div><div><div>Sea view</div></div></li></ul></div></div>","2026-03-20 22:58:37.928029+00","2026-03-20 22:58:37.928032+00"
"d681a88a-e9bb-482d-bc64-0a270cd22d4b","6eaa0dc9-9bf5-4294-ad3f-537525c633dd","0fa5c633-632b-4609-94e6-4240aed48871","fr","<div><div><ul><li><div><div><span></span></div></div><div><div>Petit-déjeuner</div></div></li><li><div><div><span></span></div></div><div><div>Parking sur place gratuit</div></div></li><li><div><div><span></span></div></div><div><div>Piscine extérieure</div></div></li><li><div><div><span></span></div></div><div><div>4 restaurants</div></div></li><li><div><div><span></span></div></div><div><div>Spa et centre de bien-être</div></div></li><li><div><div><span></span></div></div><div><div>Connexion Wi-Fi gratuite</div></div></li><li><div><div><span></span></div></div><div><div>Balcon</div></div></li><li><div><div><span></span></div></div><div><div>Navette aéroport (gratuite)</div></div></li><li><div><div><span></span></div></div><div><div>Salle de bains privative</div></div></li><li><div><div><span></span></div></div><div><div>Vue sur la mer</div></div></li></ul></div></div>","2026-03-20 23:05:27.491723+00","2026-03-20 23:05:27.491726+00"
"9b905f63-041e-430a-a0c5-abc2b0d6dd8d","8df16feb-4308-40d9-8e2c-d1ce84a899a7","a1da6af5-6d39-481c-98ab-b162305f9118","en","<div><span><span><span><span><button><span><span></span></span><span>Save the property</span></button></span></span></span></span></div>","2026-03-20 23:23:40.635622+00","2026-03-20 23:23:40.635624+00"
"8323134b-71f4-4394-ad71-b57870ab280c","6b2e273a-26c4-4259-a380-41a1c0cfb77a","a1da6af5-6d39-481c-98ab-b162305f9118","fr","<div><span><span><span><span><button><span><span></span></span><span>Enregistrer l'établissement</span></button></span></span></span></span></div>","2026-03-20 23:29:07.14704+00","2026-03-20 23:29:07.147042+00"
"5bba9fa2-e0dc-477f-b885-f7e8f16afda8","63ce8fdd-a82d-44de-8362-79482ad5573a","0fa5c633-632b-4609-94e6-4240aed48871","de","<div><div><ul><li><div><div><span></span></div></div><div><div>Frühstück</div></div></li><li><div><div><span></span></div></div><div><div>4 Restaurants</div></div></li><li><div><div><span></span></div></div><div><div>Kostenlose Parkplätze an der Unterkunft</div></div></li><li><div><div><span></span></div></div><div><div>Außenpool</div></div></li><li><div><div><span></span></div></div><div><div>Spa &amp; Wellnesscenter</div></div></li><li><div><div><span></span></div></div><div><div>WLAN inklusive</div></div></li><li><div><div><span></span></div></div><div><div>Balkon</div></div></li><li><div><div><span></span></div></div><div><div>Flughafentransfer (kostenlos)</div></div></li><li><div><div><span></span></div></div><div><div>Eigenes Badezimmer</div></div></li><li><div><div><span></span></div></div><div><div>Nichtraucherzimmer</div></div></li></ul></div></div>","2026-03-20 23:02:51.128059+00","2026-03-20 23:02:51.128087+00"
"04add568-fc78-4d64-b258-ed57f92fbe78","cff8aaf7-e8a8-47e4-918b-9636442282ae","7e509834-ef44-484e-8286-616d61ae6bf6","de","<div><span><span><span><span><button><span><span></span></span><span>Unterkunft speichern</span></button></span></span></span></span></div>","2026-03-20 23:04:09.322203+00","2026-03-20 23:04:09.322205+00"
"bb82865a-623d-469c-8968-3569c74a0023","f112d536-c589-46a9-befa-73997fd9f6ed","0fa5c633-632b-4609-94e6-4240aed48871","pt","<div><div><ul><li><div><div><span></span></div></div><div><div>Pequeno-almoço</div></div></li><li><div><div><span></span></div></div><div><div>Estacionamento gratuito no local</div></div></li><li><div><div><span></span></div></div><div><div>Piscina exterior</div></div></li><li><div><div><span></span></div></div><div><div>4 restaurantes</div></div></li><li><div><div><span></span></div></div><div><div>Spa e centro de bem-estar</div></div></li><li><div><div><span></span></div></div><div><div>Acesso Wi-Fi gratuito</div></div></li><li><div><div><span></span></div></div><div><div>Transfer aeroporto (gratuito)</div></div></li><li><div><div><span></span></div></div><div><div>Varanda</div></div></li><li><div><div><span></span></div></div><div><div>Comodidades para pessoas com mobilidade condicionada</div></div></li><li><div><div><span></span></div></div><div><div>Casa de banho privativa</div></div></li></ul></div></div>","2026-03-20 23:13:51.251497+00","2026-03-20 23:13:51.2515+00"
