Query SQL :
SELECT 
    u.id, d.hotel_id, u.external_ref, LENGTH(d.description) AS description_length,
	COALESCE(img.highres_count, 0) AS img_highres_count,
	COALESCE(s.count_service_category, 0) AS count_service_category, COALESCE(s.count_service, 0) AS count_service
FROM url_queue u
LEFT JOIN hotels_description d ON u.id = d.url_id AND d.language = 'en'
LEFT JOIN (
    SELECT hotel_id, COUNT(category) AS highres_count
    FROM image_downloads
    WHERE category = 'highres_url'
    GROUP BY hotel_id
) img 
       ON d.hotel_id = img.hotel_id
LEFT JOIN (
    SELECT url_id, hotel_id , COUNT(DISTINCT service_category) 
        + COUNT(DISTINCT CASE WHEN service_category IS NULL THEN 1 END) 
        AS count_service_category,  COUNT(*) AS count_service
    FROM hotels_all_services
    WHERE language = 'en'
    GROUP BY hotel_id, url_id
) s
       ON d.hotel_id = s.hotel_id AND u.id = s.url_id
ORDER BY u.external_ref;

---

Result :
{
external_ref,id,hotel_id,description_length,img_highres_count,count_service_category,count_service
76423,9556a514-a70a-486b-a702-0ef7f84c863b,f37774e5-1daa-4f75-8509-ba12d0963c35,1097,31,11,103
76470,ebc17fa3-bfe6-4ae6-b48f-228919f9184c,54d01033-77e2-48c8-8130-c48b8be87435,840,45,12,123
76472,a59995f7-72bd-44e6-b5b5-9be17c31faef,ef3352fe-dbe0-432f-b24e-a00074179e65,851,27,10,56
76548,2d1813c3-eeef-445b-97a9-8237aafb6d0f,a32a212e-48b2-49a3-942c-a3861f7eed32,1182,45,13,154
76554,d46758a9-4ed8-4ad3-9a2c-cf04ec0117a4,67a1c9b0-aca9-4cf1-9c4b-c20285861b87,871,45,12,97
76569,c9a830e6-3c3f-49f0-b3a6-b7613dd2ddff,459590e1-73c2-4d32-923d-8a42aaae5106,1067,45,12,57
76577,ef7d032b-4c02-4535-ba4d-1fcda0db6306,050ee7e5-d607-4756-a884-971a6bf0bd36,972,45,8,34
76592,bb5f9db7-0347-4885-abaa-bf2793141750,471b1e81-44bf-4712-89cc-4e2b0c17ffe8,1238,45,5,10
76596,6552bfb6-a305-41a3-b92c-30e5ee882870,987b6394-129f-4534-9b72-a1f0a376262b,1611,45,12,136
76598,a9b3d8ee-046d-43a7-8979-f1438a718828,650efd04-b2ef-473b-ad01-60ba1380a921,1055,45,12,109
76672,8d9bf5e5-c9b5-418b-a317-b80dcd8d7bd8,7170327d-9858-4e68-aab7-5db8f7f10592,718,45,11,60
76687,e10a21ee-35ee-46a8-a076-37d9ce835c9d,73c74039-c03f-4796-b989-6cb679bef4ff,799,45,9,69
76689,ef760178-f06b-438f-b3a3-5a09dec6863f,fd3fb6a8-29a9-45d6-96e3-80e9e657dc86,576,30,13,70
76724,2f9992f3-cc4c-46cc-87a8-0dc43ab169e0,f7aeb2fb-2618-4cd9-97f9-4a6edd97b0d2,823,45,11,60
76745,20d6dc0f-fb7d-46ac-935f-ac62016c05dd,60acd040-0e64-4ed9-bdf0-1ff8b78ab453,1274,45,13,202
76756,d5018eb7-b76a-4870-a851-2a7661974dff,a64b4391-ce60-4b99-883e-38ead9c8fab8,1621,45,12,156
76787,487bf847-b5db-4762-ac14-f816ac54f290,383d2b5b-4cab-418f-8f29-b052929f3eb8,708,45,13,72
76811,f1a409aa-2599-4d2c-a7e1-0ec309ba4638,a947afc6-8205-49fb-97e7-f4bf1ece6b11,1425,45,12,145
76822,9cdf0241-547f-4687-9569-f46e8fffafdf,1ea671e8-f05a-404a-b627-e5b39867b302,1253,45,13,162
76841,109f55eb-c205-41cf-b452-460a07ab0b40,,0,0,0,0
76888,3e89ee82-0d3b-413f-832d-8d3b5e997e65,418938a7-00eb-4461-bd58-4e1ae7ceff77,789,45,13,67
76896,8273d2a3-f27e-4d60-85be-380baea34b37,cb1e4946-91c2-4af2-90c6-5369c2471a1d,1134,32,12,63
76897,7d115f32-4c72-4734-8c7f-c8a6d316a78d,e5651b7a-de10-4370-925c-f1bf5779e263,719,45,5,10
76898,79af490c-6b9f-468a-9022-3a0a5b25dd0c,94d815da-ea91-4fb2-8378-7948da7b4655,889,32,11,62
76920,a2f2a0e6-ce2c-4a1e-80e0-c6f134ebd9c9,0f9cd987-554c-4146-8e57-0dedde0bc329,1617,45,12,118
76951,0d1f89b2-5629-4951-afc2-3d8cc9347954,c6e0afeb-70eb-4822-a282-affeb0c7fda6,1103,45,11,81
76952,24d84a8d-b063-4451-8f26-15215ad0519e,a5f1da13-6001-4513-b1db-903635e57cbb,777,45,9,37
76964,89827cc5-d9da-41f1-9991-0e276919647d,bcccdcf3-e029-4bf9-acd3-e3e3bf4ab77a,1261,45,12,80
76970,d0494ee8-26d8-4951-b381-7fb5a2fabf54,99a2eb3d-e6e5-4031-afbb-0c99e18ed509,595,45,11,48
76971,f2dfcfb8-ce68-4209-83e2-bf1c8473ed88,ede88f5c-3051-4977-bb67-70bd5ea49667,677,45,13,74
76972,3b68b444-06d5-4f0b-9f50-2d47e13f5288,91208345-29f0-4413-8291-116399bdf4df,464,31,12,49
76975,1d846695-d50f-4c0f-898b-0707a4dc3188,bc88c3d6-0947-44e5-b3d9-331f11c5917f,632,45,11,64
76991,2a80ce1b-2b49-4307-8252-e79cb78ca0a1,52bd7c9d-ba8c-4833-9782-7765c6d18401,802,45,4,10
77002,b0da5389-88c2-4ee7-a1c9-18473420d799,30ecf46b-d95c-4c7f-8423-c4319cadf403,1022,45,13,198
