"id","hotel_id","url_id","language","fp","created_at","updated_at"
"fd4f9ed4-92b7-4ada-9708-340438ae8143","c80431c6-3dce-41e9-b42b-1e98dc42db45","9af0e380-78e5-4aea-8580-94361d2f781f","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-21 01:12:12.248234+00","2026-03-21 01:12:12.248237+00"
"82b2c852-321e-4602-9ad7-0bc6b2c3ee23","462f7c1d-a985-4612-b6fe-f4804b63420b","67f1ef51-6f79-477a-b9a9-34daad69259f","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-21 01:13:30.346252+00","2026-03-21 01:13:30.346254+00"
"a61f4d8d-613d-4e74-99b4-f757ac84e3d1","9e52cbd4-51f1-47fb-b171-506140063bce","9af0e380-78e5-4aea-8580-94361d2f781f","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-21 01:15:00.728466+00","2026-03-21 01:15:00.728469+00"
"602243e8-f113-478a-8acd-db85d47e90db","7ba218b8-68b5-4749-b41e-7fcc0d4dc7fd","67f1ef51-6f79-477a-b9a9-34daad69259f","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-21 01:16:17.896054+00","2026-03-21 01:16:17.896057+00"
"fdea771b-1cbb-41a3-b402-cc06aaff2f8f","8dbab48b-e5e3-4099-9d72-61a668375019","9af0e380-78e5-4aea-8580-94361d2f781f","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-21 01:17:37.104225+00","2026-03-21 01:17:37.104227+00"
"d1b00c67-dfe6-49d8-bee4-00319d00cea2","1737d121-b2bc-4e8b-ae58-9a6445dcfef9","67f1ef51-6f79-477a-b9a9-34daad69259f","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-21 01:18:54.487604+00","2026-03-21 01:18:54.487607+00"
"15cdf46d-2f0a-44e9-bb79-fb8c2097499b","ac112652-c915-4385-b850-8ea67cea93cc","9af0e380-78e5-4aea-8580-94361d2f781f","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-21 01:20:29.396215+00","2026-03-21 01:20:29.396218+00"
"bd4ce7d2-5ae1-4fd8-9d94-afb62b0aafa6","1fba713e-0792-47e1-aaf0-6ff86cf58d3e","67f1ef51-6f79-477a-b9a9-34daad69259f","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-21 01:21:48.430581+00","2026-03-21 01:21:48.430583+00"
"8bc94992-cab7-49b2-8d77-d7e8e8f51068","cfbfc9ff-a86a-4296-ab32-74a31ecb3f72","9af7acbb-601a-47f2-87d7-292f05898d5b","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-21 01:23:07.68169+00","2026-03-21 01:23:07.681693+00"
"d9c60198-4758-42b8-8d35-1e1f2d8a5766","faf5a281-fdef-4d56-a129-cfd7f1db11b3","ce6b0b91-a4d9-474e-8df8-6c9be31a78f8","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-21 01:24:25.076851+00","2026-03-21 01:24:25.076855+00"
"12f63fb5-dcd1-4295-91ae-5d1b57714d4b","98015c71-b874-40b7-8422-21d53789bdc4","9af7acbb-601a-47f2-87d7-292f05898d5b","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-21 01:27:35.058991+00","2026-03-21 01:27:35.058993+00"
"9917316b-d933-4d06-8c8c-05454c2e3887","050d518f-849e-43e7-8db8-cc48cbb9e1fc","ce6b0b91-a4d9-474e-8df8-6c9be31a78f8","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-21 01:30:29.749275+00","2026-03-21 01:30:29.749278+00"
"bce90bb1-518f-4ff2-8c95-5bd36dfbecc6","4317919c-55f1-4b8e-9c95-6ebb8a90f351","9af7acbb-601a-47f2-87d7-292f05898d5b","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-21 01:31:48.202313+00","2026-03-21 01:31:48.202316+00"
"8c82dcd9-1c6d-4481-b4de-fd11bf19b5ff","d5e078a3-7feb-4307-8bc1-e3bf626c641e","ce6b0b91-a4d9-474e-8df8-6c9be31a78f8","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-21 01:33:05.828178+00","2026-03-21 01:33:05.82818+00"
"a08c1aef-c290-4b83-b0dd-5d3f079f89dd","45ffd7cd-fd30-4c56-bef1-192018cb30fe","9af7acbb-601a-47f2-87d7-292f05898d5b","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-21 01:34:23.674487+00","2026-03-21 01:34:23.674491+00"
"67506531-09e1-4964-b3a9-bf793a348131","241328c4-953d-443d-a15b-12d20399821d","ce6b0b91-a4d9-474e-8df8-6c9be31a78f8","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-21 01:35:57.76082+00","2026-03-21 01:35:57.760823+00"
"3120603e-018f-41d0-8e5f-9e7a4d9eef47","0dc09881-d1bb-4eec-9c76-7c06b3d1f82e","9af7acbb-601a-47f2-87d7-292f05898d5b","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-21 01:37:15.127489+00","2026-03-21 01:37:15.127492+00"
"68b5157d-88fd-460e-b0b5-4186c878a013","bc2ade71-43a3-4e3f-b25f-832209277bb1","ce6b0b91-a4d9-474e-8df8-6c9be31a78f8","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-21 01:38:34.972239+00","2026-03-21 01:38:34.972241+00"
"e8a1f144-c5a7-4492-9ad6-26623a2394af","7aee084f-fcc2-4c6d-a7be-fbc28eea88a3","9af7acbb-601a-47f2-87d7-292f05898d5b","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-21 01:39:54.600962+00","2026-03-21 01:39:54.600964+00"
"8e767342-ac75-481a-84cb-ec406a78793e","a95ec092-5b4a-47f2-8a74-e946c6cc0f0a","ce6b0b91-a4d9-474e-8df8-6c9be31a78f8","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-21 01:41:29.373411+00","2026-03-21 01:41:29.373414+00"
"6b4bbdb3-2be8-4e2d-868a-e5f7618c56e3","5b621d4a-add5-4617-8941-4d8e9a70439d","9af7acbb-601a-47f2-87d7-292f05898d5b","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-21 01:42:47.446788+00","2026-03-21 01:42:47.446792+00"
"2075aadc-2e2e-4449-8c95-b8171d4f266f","70825dd2-cee5-41a8-9024-0adfae15bd68","ce6b0b91-a4d9-474e-8df8-6c9be31a78f8","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-21 01:44:05.513913+00","2026-03-21 01:44:05.513917+00"
